manUnit,stkName,stk,cuSimName,model,domCycle,usER,minER,alpha,beta0,sigma,larkAlpha,larkBeta0,larkBeta1,larkBeta2,larkBeta3,larkSigma,tauCycAge,meanRec2,meanRec3,meanRec4,meanRec5,meanRec6,medianRec,lowQRec,highQRec,meanDBE,sdDBE,medMA,meanForecast,sdForecast,uMSY,lowFRP,highFRP
Summ,L. Stuart,2,test,larkin,1,0.165,0.005,0.87988998,0.725449366,1.120590813,1.078712783,0.9034816,0.498944392,0.290062433,0.071018083,1.140435848,1.8,0,0.00353746,0.881409603,0.115052937,0,0.122809345,0.02892,0.449507,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
Summ,Stellako,3,test,ricker,NA,0.165,0.005,1.08221205,2.616025835,0.774519633,2.102751868,3.327408949,1.000971724,0.121991217,4.930757844,0.678377269,0.75,0,0.000969123,0.845145264,0.153885612,0,0.3064765,0.18293825,0.63184625,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
Summ,Raft,5,test,ricker,NA,0.165,0.005,1.31782452,21.68732726,0.745930732,1.504219414,22.74351162,0.572952635,4.457089063,1.486695922,0.75466677,0.9,0,0.002245351,0.746056386,0.251698263,0,0.0233325,0.00958675,0.047736928,0.55404385,0.255442547,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
Summ,Quesnel,6,test,larkin,1,0.165,0.005,0.636635751,0.234264114,0.793524835,1.108286593,0.34884125,0.139375899,0.242990724,0.367082444,0.765447297,2.975,0,0.003262675,0.911986675,0.084750649,0,0.065181323,0.0027205,1.0587615,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
Summ,Chilko,7,test,ricker,NA,0.165,0.005,1.608021382,1.113354496,0.752856576,2.154561535,1.08051374,0.500850872,0.290173825,0.087275073,0.747486593,0.7,0,0.011027463,0.932670899,0.056301638,0,1.1907915,0.5259755,1.82798225,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
Summ,Harrison,19,test,ricker,NA,0.165,0.005,1.72974433,3.485642772,1.336375744,1.852646465,3.115328155,0.204242405,0.271844836,0.27607886,1.37513453,1.1,0.001467269,0.424013895,0.574518836,0,0,0.041545,0.017811,0.087825,0.257298427,0.480988177,0.152984277,2.253132758,3.570753313,0.661474788,0.737703676,1.475407352
