"CU","alpha","beta0","sigma","deviance","beta1","beta2","beta3","stk"
1,2.10303724204274,2.6856333629245,0.792683233495252,2596.21865321564,3.18113399484573,3.18481971703985,1.55545928110137,"E. Stuart"
1,1.79753326441441,1.49807231987419,0.641528899942907,2580.4578282868,3.28996913418481,2.2665348873545,0.427676442684085,"E. Stuart"
1,1.67924082866996,1.65149655416372,0.642727228140751,2560.90692488878,2.34677982294904,0.955538051219162,0.846335058851595,"E. Stuart"
1,1.82794185304063,1.57810751494146,0.82465072460615,2575.99179580486,3.86312737149854,0.450526321342319,0.9540766853541,"E. Stuart"
1,1.76107370040455,2.33139901243955,0.803753369926582,2570.12282271419,1.9981078618314,1.56029752700338,0.164811694395626,"E. Stuart"
1,1.7279863157673,2.82440157724013,0.744987781016703,2577.39113174496,1.94290869275577,0.0830495805127717,1.27158159770958,"E. Stuart"
1,1.79450403180291,1.65399745748282,0.719623473817057,2577.09789787684,2.60820043011668,1.26129372422566,0.291834899415484,"E. Stuart"
1,1.5758560767627,1.73834262713419,0.706717483020687,2615.16558573568,2.6951457466223,0.843324096590537,1.34147291007894,"E. Stuart"
1,1.75357292246016,1.9523270485726,0.698166098350615,2552.84196041584,3.07579347757414,0.919186827353067,1.85594586915588,"E. Stuart"
1,2.00496344278882,2.22217342573965,0.942905501583144,2580.63786935694,2.89005393702554,1.05499431713244,0.370959922523966,"E. Stuart"
1,2.02200815981366,1.4911221722586,0.736499964047868,2601.84981869632,1.70507276235308,2.22923303918244,2.24830995597222,"E. Stuart"
1,1.81866810682499,2.80419206573323,0.757402890079399,2573.10146274293,1.67601398921756,0.422115355199266,1.71761716296461,"E. Stuart"
1,1.90759354995059,3.04231581524338,0.679817178208319,2574.98281167299,3.21775817161458,0.706371683651545,1.77113985142901,"E. Stuart"
1,1.84586036793087,1.94689182291674,0.713368984457779,2561.19825796186,3.5452507875475,0.850718049007442,0.901042442027893,"E. Stuart"
1,1.88600851222959,1.69261844520723,0.732533674881492,2581.02244691144,2.03137507026907,1.56149544240964,2.03430535374814,"E. Stuart"
1,1.70413933628764,1.50244198994519,0.92694219311022,2576.51788473841,2.34995483807419,0.606396715067796,1.72101639424407,"E. Stuart"
1,1.92481661520422,3.31818850340452,0.832520378571299,2568.74324114144,2.59786113028868,0.853017497292541,0.953002754262861,"E. Stuart"
1,1.50071702052933,1.73264175869006,0.773560263349267,2598.45412259633,1.46750233397822,0.166528730743086,1.08635782304442,"E. Stuart"
1,1.73404605675553,2.43382049828072,0.933682351608603,2596.69766966352,1.34028039295362,1.42203658087132,0.151047900359828,"E. Stuart"
1,1.76979860715486,1.60382905169366,0.724421874678375,2573.76925873925,2.98015756035613,0.865230113033658,0.9988781068695,"E. Stuart"
1,2.04691011810591,2.33777973911429,0.784563610483729,2579.96796463631,2.64867808343147,2.32657403790121,1.08547718996346,"E. Stuart"
1,1.6888621797617,1.48455569535613,0.683877056037804,2572.42462762092,3.10939787841136,1.52460057774889,0.542240704260628,"E. Stuart"
1,1.82188091405187,3.23422330517959,0.795444345701536,2592.7679361252,2.42368493696112,0.0899985796741408,1.49077906961771,"E. Stuart"
1,1.780838559548,1.86241307456667,0.868659251382458,2576.0650501045,2.79870170151167,1.25375134600576,0.931534280779731,"E. Stuart"
1,1.8808384307555,1.60025017427727,0.931333955889045,2563.08056919573,0.943002211892801,3.73577074083053,1.27738848255731,"E. Stuart"
1,1.80267128541671,1.93787651519722,0.74538324946153,2560.58620849262,1.81791892086538,1.47680584994082,0.575584012550352,"E. Stuart"
1,1.91078899111367,1.63917441264011,0.695571359897452,2554.77756545797,3.89878082641823,1.97506231262469,0.348747870322492,"E. Stuart"
1,1.87948378286195,2.24974985710596,0.858598744020906,2568.76083540805,2.49879817479885,0.890344480537966,0.776390424375035,"E. Stuart"
1,1.77776679908226,1.98484828343955,0.699540941794054,2587.70798994238,2.29660275941787,1.50663214180073,0.630081787395107,"E. Stuart"
1,1.78984899440356,1.45702566705132,0.780608364807448,2556.02188146805,3.58418424761906,1.65168083329097,0.946663195649079,"E. Stuart"
1,1.80855144868383,2.21988517471085,0.840539864695236,2582.43446040955,0.424165446879352,1.27558836417872,1.86303695046042,"E. Stuart"
1,1.53324087670205,2.40474885620978,0.749461662666162,2544.90019000235,2.1604368894583,0.542639701217369,0.380280098893205,"E. Stuart"
1,1.6752983834554,2.12262519060627,0.67713095831078,2573.73780629619,1.50879659578567,1.10749837046055,0.382619731214024,"E. Stuart"
1,1.84452275196325,1.80013574841093,0.618119302633199,2567.10607375836,2.69433499785163,1.88341265452084,0.612394496748557,"E. Stuart"
